,Name,ID,Latitude,Longitude,Rating,Types,Vicinity
31,Posto de Abastecimento e Serv Nota 10 Ltda,ChIJJ_aHV4YEFgcR7YTeX8KMBMc,-12.9951593,-38.5102225,3,gas_station,"Av. Reitor Miguel Calmon, 455 - Canela, Salvador"
32,Di Mercato,ChIJEfQIZYAEFgcRsGc4igJcqt4,-12.997294,-38.5266485,3.8,gas_station,"R. da Graça, 156 - Graça, Salvador"
33,João Cesar Farjala Gusmao,ChIJ28O0xXsDFgcRI6CxZXzru_E,-13.0056025,-38.5222711,3.5,gas_station,"R. José Sátiro de Oliveira, 6 - Chame-Chame, Salvador"
34,Posto Petrobras,ChIJ_97gxM4FFgcRJ0zy3fIv1bw,-12.9824779,-38.5035996,0,gas_station,"Av. Pres. Costa e Silva, SN - Tororo, Salvador"
35,Posto Dique,ChIJV14DWcAEFgcR9wX-tFqaSRw,-12.9824747,-38.5035713,3.9,gas_station,"Av. Vasco da Gama, 4274 - Engenho Velho de Brotas, Salvador"
37,Posto Shell,ChIJQVYTXXkDFgcRYR64FM5Gi34,-13.0055456,-38.5223518,4.1,gas_station,"R. Comendador Francisco Pedreira, 131 - Chame-Chame, Salvador"
49,Posto Larco,ChIJFbciXJwEFgcRaSGBV1Ertg4,-12.9982855,-38.5134886,3.9,gas_station,"R. Teixeira Mendes, 02 - Área Limite da BCS Calabar, Salvador"
72,Posto Petrobras,ChIJb2vYc5kEFgcR78-HhEvDIiE,-12.9951267,-38.5102907,4.2,gas_station,"Av. Reitor Miguel Calmon, 455 - Vale do Canela, Salvador"
73,Posto R2M,ChIJvWYLysEEFgcRRdbI68J4Bu0,-12.9824326,-38.5033869,4,gas_station,"Av. Pres. Costa e Silva, S/N - Tororo, Salvador"
144,Posto Shell - Gas On Line Com E Serv Ltda,ChIJweSQ8KUcFgcRXwo2iekIjkQ,-13.0136014,-38.4743117,4,gas_station,"Av. Amaralina, 441 - Amaralina, Salvador"
145,Brasilgás,ChIJJehDGHwFFgcRiXUr5-5zY30,-12.9930026,-38.4937009,5,gas_station,"Rua Padre Eloy - Acupe de Brotas, Salvador"
146,PM & F Primos Derivados de Petróleo,ChIJYwd31rMEFgcRRJHrohMDVak,-12.9932445,-38.4901339,3,gas_station,"Avenida São Pedro 21 - to - Brotas, Salvador"
147,Shell Select,ChIJIWXnMk8dFgcRAfxXkc2HFoM,-13.013119,-38.483511,5,gas_station,"R. Marquês de Monte Santo, 299 - Rio Vermelho, Salvador"
149,Gnv,ChIJVSg5_6UcFgcRUlOE8ss7mfs,-13.0135959,-38.474257,4.2,gas_station,"R. Visc. de Itaborahy, 550 - Nordeste de Amaralina, Salvador"
150,Posto Shell - POSTO MATARIPE ABAST E SERVICO LTD,ChIJ8QxmcroEFgcRwCBFGsF6rUc,-12.9921261,-38.4956604,4.8,gas_station,"Av. Gen. Graça Lessa, 362 - Acupe de Brotas, Salvador"
151,Posto Shell,ChIJdRo5qlUbFgcRkDAk6nbPZMU,-13.0039133,-38.4822819,4.1,gas_station,"R. Mundo Novo,1428 P Shell Rio Verme - Santa Cruz, Salvador"
152,Postos Mataripe,ChIJE4inUE4bFgcRX-qsBwlwhK4,-12.9957464,-38.4775354,3.5,gas_station,"Av. Juracy Magalhães Júnior, 2575 - Horto Florestal, Salvador"
153,Lídice de Oliveira,ChIJIeNrxL8EFgcRXhPsX-YIwoc,-13.0044568,-38.4924115,3.5,gas_station,"Av. Vasco da Gama, 3883 - Rio Vermelho, Salvador"
154,Stations Network Cheapest,ChIJZzy3NqUEFgcRiLb9y1pxID4,-12.9951369,-38.4971757,3.9,gas_station,"Av. Vasco da Gama, 237 - Federação, Salvador"
155,Loja Shell Select - POSTO SHELL - ENTREPOSTO COMERCIAL DE AMARALINA L,ChIJwfAsZhMdFgcRzqS5cKPGVgQ,-13.013062,-38.4743486,0,gas_station,"Av. Amaralina, 441 - Amaralina, Salvador"
