,Name,ID,Latitude,Longitude,Rating,Types,Vicinity
82,Posto De Gasolina Menor Preço,ChIJ57NR7asRFgcRWrK73uo24VA,-12.8951158,-38.4474951,3.9,gas_station,"Dom Avelar, Salvador"
83,POSTO DE COMBUSTIVEIS NEVES LTDA,ChIJx3DQOdoaFgcRJKY7Zp1jvJE,-12.9646906,-38.4725408,3.9,gas_station,"R. Silveira Martins, 433 - Cabula, Salvador"
84,Posto Petrobras,ChIJy4rZCExYzpQRYM0Es8bQDVc,-12.938638,-38.45322790000001,3.9,gas_station,"Av. Cardeal Avelar Brandão Villela, 286 - Mata Escura, Salvador"
85,Posto Shell - Gas On Line Com E Serv Ltda,ChIJweSQ8KUcFgcRXwo2iekIjkQ,-13.0136014,-38.4743117,4.0,gas_station,"Av. Amaralina, 441 - Amaralina, Salvador"
87,Posto Ipiranga,ChIJT3Zg3-wzb5MRExuw3PxObjs,-12.9054494,-38.4610048,4.0,gas_station,"Estrada Campinas de Pirajá, sn - Mal. Rondon, Salvador"
88,Posto Shell Kalilandia - Nova Brasília,ChIJaw_OksMQFgcRmQksrYItxn4,-12.9169977,-38.4173886,4.0,gas_station,"5717, Av. Aliomar Baleeiro, 5557 - São Marcos, Salvador"
89,Posto Petrobras,ChIJBU95HWYbFgcRJGLCxYf9-qw,-13.00047,-38.45925,3.9,gas_station,"AV ANTONIO C MAGALHAES, S/N - Itaigara, Salvador"
90,Posto Shell - Posto Kalilandia Ltda,ChIJ0T8VQtkEFgcRyx3M2cXBVjE,-12.9702178,-38.4975978,3.9,gas_station,"R. Cônego Pereira, 03 - Baixa de Quintas, Salvador"
91,Posto Ipiranga,ChIJ01ck-rcFFgcRBonaXXEXSM4,-12.9927451,-38.4960036,4.6,gas_station,"Engenho Velho de Brotas, Salvador"
92,Posto Petrobras,ChIJzd2ow8MEFgcRKwKj29T04QU,-13.0065563,-38.4929175,4.4,gas_station,"Av. Vasco da Gama, 4838 - Rio Vermelho, Salvador"
94,Posto Petrobras,ChIJmUvRsgAbFgcR075Ie2VWFiM,-12.9830466,-38.4833666,0.0,gas_station,"Av. Gen. San Martin, 161 - RETIRO, Salvador"
95,Posto Petrobras,ChIJye3_x_cPFgcROzhoXiTG1t4,-12.9845821,-38.51936600000001,3.5,gas_station,"R. Carlos Gomes, 1064 - Dois de Julho, Salvador"
96,Posto Petrobrás,ChIJzTJxI9oaFgcRH5W5SO048pw,-12.9650445,-38.4729811,4.0,gas_station,"Praça Francisco Manoel, 19 - Cabula, Salvador"
97,Posto Petrobras,ChIJfUDwU6kRFgcRPW1A7VBZDxE,-12.9320185,-38.4577444,4.0,gas_station,"Av. Cardeal Avelar Brandão Villela, 286 - Tancredo Neves, Salvador"
99,Posto Novo Horizonte Petrobrás,ChIJvai0f1waFgcR3imaf2iX_88,-12.9602924,-38.43369070000001,3.9,gas_station,"Av. Luís Viana Filho, 3073 - Paralela, Salvador"
101,Posto Petrobras,ChIJxW51swUbFgcRX6W1W2-nmC4,-12.9816497,-38.4499405,4.3,gas_station,"R. Edístio Pondé, 474 - Stiep, Salvador"
